# Index r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz 0 0 0 1
93 -0.501590 0.824371 0.262331 0.010733 0.864957 0.483490 0.134479 0.028944 -0.015974 0.294359 -0.955560 0.218781 0 0 0 1
94 -0.696404 0.666214 0.266793 0.010508 0.711968 0.688056 0.140279 0.029332 -0.090113 0.287639 -0.953489 0.218776 0 0 0 1
95 -0.660642 0.703743 0.261335 0.010175 0.747432 0.649068 0.141611 0.029670 -0.069967 0.288884 -0.954803 0.218737 0 0 0 1
96 -0.605161 0.751985 0.261335 0.009891 0.794667 0.590296 0.141611 0.029990 -0.047776 0.293372 -0.954803 0.218710 0 0 0 1
97 -0.761833 0.592816 0.261109 0.009598 0.638475 0.755242 0.148179 0.030372 -0.109357 0.279599 -0.953868 0.218693 0 0 0 1
98 -0.679060 0.688909 0.253535 0.009226 0.731018 0.666134 0.147906 0.030682 -0.066995 0.285776 -0.955951 0.218645 0 0 0 1
99 -0.541882 0.803170 0.247547 0.008865 0.840446 0.519063 0.155633 0.031068 -0.003493 0.292385 -0.956293 0.218616 0 0 0 1
100 -0.697487 0.671003 0.251526 0.008599 0.714110 0.680058 0.166033 0.031477 -0.059644 0.295423 -0.953502 0.218618 0 0 0 1
101 -0.639069 0.729753 0.243000 0.008205 0.768861 0.614741 0.175910 0.031879 -0.021011 0.299252 -0.953942 0.218590 0 0 0 1
102 -0.810439 0.533775 0.241394 0.007877 0.578414 0.794420 0.185291 0.032273 -0.092865 0.289792 -0.952573 0.218580 0 0 0 1
103 -0.737112 0.634993 0.231187 0.007460 0.674081 0.715074 0.185156 0.032571 -0.047743 0.292320 -0.955127 0.218533 0 0 0 1
104 -0.769004 0.598354 0.224953 0.007080 0.636932 0.747105 0.190129 0.032917 -0.054299 0.289490 -0.955639 0.218508 0 0 0 1
105 -0.681322 0.698696 0.218225 0.006695 0.731937 0.653611 0.192506 0.033237 -0.008131 0.290886 -0.956722 0.218480 0 0 0 1
106 -0.741742 0.634730 0.216644 0.006360 0.670074 0.715117 0.199014 0.033597 -0.028606 0.292785 -0.955749 0.218474 0 0 0 1
107 -0.697899 0.684926 0.209312 0.005968 0.716195 0.667104 0.205027 0.033952 0.000795 0.292997 -0.956112 0.218458 0 0 0 1
108 -0.731069 0.650327 0.206425 0.005620 0.682266 0.699895 0.211324 0.034310 -0.007046 0.295329 -0.955369 0.218456 0 0 0 1
