#r11 r12 r13 tx r21 r22 r23 ty r31 r32 r33 tz 0 0 0 1
-0.530396 0.827955 0.182131 0.001320 0.822819 0.554495 -0.124511 -0.023050 -0.204080 0.083821 -0.975359 0.205030 0 0 0 1
-0.532947 0.829996 0.164543 0.000797 0.824411 0.553138 -0.119937 -0.022666 -0.190563 0.071731 -0.979051 0.204878 0 0 0 1
-0.531649 0.830828 0.164543 0.000450 0.825275 0.551849 -0.119937 -0.022327 -0.190450 0.072029 -0.979051 0.204764 0 0 0 1
-0.532347 0.832488 0.153529 -0.000006 0.826160 0.550467 -0.120192 -0.021989 -0.184571 0.062856 -0.980807 0.204635 0 0 0 1
-0.532700 0.833495 0.146685 -0.000421 0.827976 0.549152 -0.113528 -0.021580 -0.175178 0.060976 -0.982647 0.204506 0 0 0 1
-0.532915 0.834834 0.138034 -0.000854 0.829078 0.547778 -0.112114 -0.021222 -0.169209 0.054694 -0.984062 0.204385 0 0 0 1
-0.531621 0.835659 0.138034 -0.001200 0.829925 0.546493 -0.112114 -0.020875 -0.169124 0.054956 -0.984062 0.204279 0 0 0 1
-0.533430 0.835280 0.133264 -0.001594 0.834671 0.545333 -0.077047 -0.020175 -0.137029 0.070133 -0.988081 0.204137 0 0 0 1
-0.532868 0.836637 0.126850 -0.002004 0.835377 0.544006 -0.078757 -0.019839 -0.134898 0.064000 -0.988790 0.204031 0 0 0 1
-0.531583 0.837453 0.126850 -0.002349 0.836211 0.542724 -0.078757 -0.019483 -0.134800 0.064207 -0.988790 0.203936 0 0 0 1
-0.533404 0.837357 0.119639 -0.002767 0.839378 0.541472 -0.047462 -0.018810 -0.104524 0.075106 -0.991682 0.203816 0 0 0 1
-0.534909 0.836241 0.120723 -0.003102 0.841536 0.540063 -0.012240 -0.018094 -0.075434 0.095046 -0.992611 0.203720 0 0 0 1
-0.539712 0.832479 0.125255 -0.003403 0.841473 0.537914 0.050704 -0.017097 -0.025167 0.132764 -0.990828 0.203656 0 0 0 1
-0.541429 0.833420 0.110754 -0.003894 0.840747 0.536669 0.071637 -0.016515 0.000266 0.131902 -0.991263 0.203575 0 0 0 1
-0.543557 0.831865 0.112006 -0.004227 0.839046 0.534769 0.100120 -0.015854 0.023389 0.148399 -0.988651 0.203530 0 0 0 1
-0.554502 0.824107 0.115648 -0.004537 0.827199 0.530649 0.184806 -0.014629 0.090932 0.198139 -0.975947 0.203594 0 0 0 1
-0.558744 0.821169 0.116135 -0.004879 0.821047 0.527952 0.217135 -0.013926 0.116991 0.216676 -0.969208 0.203606 0 0 0 1
-0.560280 0.821787 0.103696 -0.005351 0.816314 0.526602 0.237322 -0.013344 0.140422 0.217616 -0.965880 0.203593 0 0 0 1
-0.559012 0.822650 0.103696 -0.005698 0.817125 0.525343 0.237322 -0.012965 0.140757 0.217399 -0.965880 0.203557 0 0 0 1
-0.577758 0.809418 0.105065 -0.006033 0.786921 0.518220 0.334968 -0.011611 0.216683 0.276208 -0.936354 0.203827 0 0 0 1
-0.588107 0.802318 0.102053 -0.006413 0.767169 0.513436 0.384494 -0.010741 0.256089 0.304415 -0.917469 0.204003 0 0 0 1
-0.598040 0.795120 0.100664 -0.006777 0.747919 0.508525 0.426638 -0.009950 0.288038 0.330435 -0.898803 0.204190 0 0 0 1
-0.596786 0.796061 0.100664 -0.007128 0.748719 0.507345 0.426638 -0.009584 0.288558 0.329981 -0.898803 0.204205 0 0 0 1
-0.603741 0.791539 0.094674 -0.007540 0.732220 0.503661 0.458453 -0.008907 0.315200 0.346109 -0.883662 0.204387 0 0 0 1
-0.598205 0.797533 0.078048 -0.008060 0.732547 0.504766 0.456712 -0.008573 0.324847 0.330382 -0.886184 0.204408 0 0 0 1
-0.591094 0.803640 0.069075 -0.008504 0.739556 0.505786 0.444114 -0.008356 0.321971 0.313598 -0.893303 0.204400 0 0 0 1
-0.598703 0.798269 0.065742 -0.008894 0.721456 0.501795 0.477181 -0.007692 0.347930 0.333120 -0.876342 0.204652 0 0 0 1
-0.596883 0.800054 0.060365 -0.009305 0.719955 0.500878 0.480403 -0.007337 0.354112 0.330204 -0.874968 0.204767 0 0 0 1
